Hub,Avg_Sales_Per_Truck,Min_Sales_Per_Truck,Max_Sales_Per_Truck,Std_Sales_Per_Truck,Utilization_Range_%
Boisbriand,52781.678495478314,2050.78333333333,87179.37,13016.059522587748,161.28434921591105
Châteauguay,48623.982079184716,4557.55333333333,70399.5277777778,14347.776831805853,135.41049422324164
Varennes,52328.47936005769,6502.673333,72645.02308,12188.081980360188,126.39837915390761
