Hub,Avg_Sales_Per_Truck,Avg_Trans_Per_Truck,Avg_Outbound_Per_Truck
Boisbriand,52781.678495478314,1914.5818296044713,3614.5813904615384
Châteauguay,48623.982079184716,,2909.177371205769
Varennes,52328.47936005769,,3420.205014856938
