Hub,Sales_Elasticity,Sales_R_Squared,Trans_Elasticity,Trans_R_Squared,N_Observations
Boisbriand,0.028538942688182273,0.6496180033619986,0.08124677546093421,0.6736610909823766,51
Châteauguay,0.08535170502763464,0.6345789617780687,0.21485622272503016,0.6905104285635769,51
Varennes,0.11149815347465596,0.7628891177768434,0.09151272519127261,0.7048548078933311,51
